id,album_id,track,name,artist,audio_path,created_at,updated_at
1,1,1,ドタバタアクチュエーション,今西悠也,a,,
2,1,2,StarryDarkBlueSky,MES19,,,
3,1,3,A shooting star,itsuha,,,
4,1,4,The Alchemist,Samiyama,,,
5,1,5,StreamOfFontaine,MES19,,,
6,1,6,宵の明星,mamezo,,,
7,1,7,落葉,nazushiron(なずしろ+nion),,,
8,2,1,収穫祭の踊り,カノン,,,
9,2,2,ピアノソナタ 第一番 ト短調「超絶技巧」,T.M.C.,,,
10,2,3,Come Tonight,Noctavation,,,
11,2,4,quattuordecuplicallation,LostSentence,,,
12,2,5,さよなら、ストレイシープ,mAkina'am,,,
13,2,6,ЭИHO,ねこ少女,,,
14,2,7,クリスマスに財布落とした,mamezo,,,
15,2,8,Grand Stage,マコトシアカ,,,
16,2,9,OperatingSystem,MES19,,,
17,2,10,四小節の小宇宙,ほうきぼし える,,,
18,2,11,FightAgainstIceFairy,MES19,,,
19,2,12,TheWarOfWinter,MES19,,,
20,2,13,Power of VITAL,Lv100,,,
21,2,14,EndOf2k20,MES19,,,
22,2,15,TheNightKiller,MES19,,,
23,2,16,Phantom Vibration Syndrome,Samiyama,,,
24,2,17,UnknownGlitch,MES19,,,
25,2,18,2013,パリ,,,
26,2,19,世界革命,nion,,,
27,2,20,On the Last Day,kosamega,,,
28,3,1,回想車,マコトシアカ,,,
29,3,2,InTheDream,MES19,,,
30,3,3,できそこないフライト,Imanishi,,,
31,3,4,Follow my heart,パリ,,,
32,3,5,おいでよきっちょんの森,レムイン＝クァインティャン,,,
33,3,6,ステラグロウ,一葉,,,
34,3,7,異国の祭り,MES19,,,
35,3,8,WATASHI☆ZETTAI☆SAIKYO(Kitchon Extended Mix),MES19,,,
36,3,9,幻覚、および幻聴の症状。,MES19,,,
37,3,10,Cancer Ray,motakine,,,
38,3,11,Saturated Emotion,paranoll,,,
39,3,12,叢雲,なずしろ,,,
40,3,13,milkyway(Samiyama Remix),Samiyama,,,
41,3,14,Finalizer,ITSUHA. + Rakuno.α,,,
42,3,15,繝弱け繧ｿ繝,Δ,,,
43,3,16,サイント,nion,,,
44,4,1,キミイロアンサー,マコトシアカ,,,
45,4,2,愛を頂戴,na'am,,,
46,4,3,冬夜に咲くは紅,いとら,,,
47,4,4,BoundForUnknown,MES19,,,
48,4,5,LivingDead,MES19,,,
49,4,6,TheRuleOfMafia,MES19,,,
50,4,7,SenseOfAlienation,MES19,,,
51,4,8,Mescaline,motakine,,,
52,4,9,Kamogawa Hallucination,kosamega,,,
53,4,10,ワンダーライフ,Σ,,,
54,4,11,五月の風のゼリー,mamezo,,,
55,4,12,オーバー・ザ・サンセット,えぶぁ,,,
56,4,13,Rainy Break Out,Imanishi,,,
57,4,14,Glitter Bullet,Mint,,,
58,4,15,Hokuto,Rakuno.α,,,
59,4,16,イロヅクセカイ,Imanishiaka(Imanishi+マコトシアカ),,,
60,4,17,灰色世界,パリ,,,
61,4,18,青春の残滓,nion,,,
62,5,1,cotton candy,みや,,,
63,5,2,しゃぼん玉フロート,マコトシアカ,,,
64,5,3,Summer Cocktail,なずしろ,,,
65,5,4,キミトナツゾラ!(will you come with me?),Imanishi,,,
66,5,5,夏の終わりに約束を,パリ,,,
67,5,6,Gray Memories,melY,,,
68,5,7,妹MAD,MES19,,,
69,5,8,Depth,mAkina,,,
70,5,9,かわいさMAX,MES19,,,
71,5,10,Designed World,Mint,,,
72,5,11,Dysnomia,Mint,,,
73,5,12,認識の歪みと違和感(150remix),ジャガタロイモ,,,
74,5,13,夜と傷,人間マン,,,
75,5,14,Dummy Head,MOAN Sound,,,
76,5,15,Looking for,がき,,,
77,5,16,深海魚,Σ,,,
78,5,17,告別,nion,,,
79,6,1,deltamartcm1,えぶぁ,,,
80,6,2,Journey,melY,,,
81,6,3,BiginningOfNewEra,MES19,,,
82,6,4,Express,Σ,,,
83,6,5,∀lice,MES19,,,
84,6,6,MASKED VALKYRIE,MES19,,,
85,6,7,Ǎcid Virtual Я!0t,mAkina,,,
86,6,8,artificial session #4,paranoll,,,
87,6,9,Melty Star(feat. 鏡音リン),melY,,,
88,6,10,glitter,ろいた,,,
89,6,11,sunset grow,マコトシアカ+りっか,,,
90,6,12,Devi,Σ,,,
91,6,13,賢者の贈り物,nion,,,
92,6,14,オキシトシン的幸福論,みや,,,
93,6,15,Funny Panic,さめこうもり,,,
94,6,16,斜陽,Imanishi,,,
95,6,17,帰り道,柳生一樹,,,
96,6,18,退場,nion,,,
97,12,1,plz chiptunize me～私をチップチューンにしてください～,mamezo,,,
98,12,2,Waltz of ghost lady,paranoll,,,
99,12,3,drunken,ろいた,,,
100,12,4,メインテーマ,nion,,,
101,12,5,故郷の町,nion,,,
102,12,6,キチョーン城,あげまそっく,,,
103,12,7,冒険,nion,,,
104,12,8,戦闘,nion,,,
105,12,9,洞窟,nion,,,
106,12,10,邪悪な者へ,nion,,,
107,12,11,平和な世界,nion,,,
108,12,12,寺人-Templr-,さめこうもり,,,
109,12,13,ハコビヤ,melY,,,
110,11,1,消えたポラリス,ソニオル+一葉+なずしろ,,,
111,11,2,￥€＄,Pound peso,,,
112,11,3,colorful sky highway,air,,,
113,11,4,鴨川夜行,レぺゼン吉音,,,
